test,p_raw,p_fdr
global__dice_vb__sex,0.5017857270663199,0.8379529342932047
global__dice_disc__sex,0.6320006887095311,0.8598789542411328
global__dice_macro__sex,0.5489102004176954,0.8379529342932047
global__hd95_vb__sex,0.04136191692985841,0.7165373843885281
global__hd95_disc__sex,0.1826642286658352,0.7192404003717262
global__hd95_macro__sex,0.06732310875511932,0.7165373843885281
global__ndsc_vb__sex,0.13970279405633035,0.7165373843885281
global__ndsc_disc__sex,0.14186897058184575,0.7165373843885281
global__ndsc_macro__sex,0.11611863768270747,0.7165373843885281
global__dice_vb__race_wb,0.5039039494219935,0.8379529342932047
global__dice_disc__race_wb,0.48208601526858386,0.8379529342932047
global__dice_macro__race_wb,0.5134115528732457,0.8379529342932047
global__hd95_vb__race_wb,0.16908590996821848,0.7165373843885281
global__hd95_disc__race_wb,0.13465770940210164,0.7165373843885281
global__hd95_macro__race_wb,0.13334701228885404,0.7165373843885281
global__ndsc_vb__race_wb,0.2490570744453049,0.7282886823262713
global__ndsc_disc__race_wb,0.40712488077295383,0.8201359695617496
global__ndsc_macro__race_wb,0.3446114606260634,0.7753757864086427
global__dice_vb__race_wbo,0.7884534948499342,0.9082522988615309
global__dice_disc__race_wbo,0.7796073461065498,0.9082522988615309
global__dice_macro__race_wbo,0.8319977577332008,0.9120317053671475
global__hd95_vb__race_wbo,0.29345903810656093,0.7282886823262713
global__hd95_disc__race_wbo,0.30290538619189766,0.7282886823262713
global__hd95_macro__race_wbo,0.2446904284177394,0.7282886823262713
global__ndsc_vb__race_wbo,0.5308693273001098,0.8379529342932047
global__ndsc_disc__race_wbo,0.7246553572374843,0.9082522988615309
global__ndsc_macro__race_wbo,0.6551458698980059,0.8598789542411328
global__dice_vb__race_wn,0.6269650963704074,0.8598789542411328
global__dice_disc__race_wn,0.4810914885980485,0.8379529342932047
global__dice_macro__race_wn,0.5537478380247411,0.8379529342932047
global__hd95_vb__race_wn,0.3121237209969734,0.7282886823262713
global__hd95_disc__race_wn,0.22331784320387704,0.7282886823262713
global__hd95_macro__race_wn,0.2828552225567478,0.7282886823262713
global__ndsc_vb__race_wn,0.3112546977339694,0.7282886823262713
global__ndsc_disc__race_wn,0.4295950316752022,0.8201359695617496
global__ndsc_macro__race_wn,0.3669084077555105,0.7970768858136952
global__dice_vb__age_3bin,0.649513374546498,0.8598789542411328
global__dice_disc__age_3bin,0.9319789624629727,0.976611076183697
global__dice_macro__age_3bin,0.9752116532687797,0.9909408734827924
global__hd95_vb__age_3bin,0.738969346710693,0.9082522988615309
global__hd95_disc__age_3bin,0.9456075499556431,0.976611076183697
global__hd95_macro__age_3bin,0.8073353767658052,0.9082522988615309
global__ndsc_vb__age_3bin,0.8396482366872151,0.9120317053671475
global__ndsc_disc__age_3bin,0.7492923889654889,0.9082522988615309
global__ndsc_macro__age_3bin,0.8783345049505233,0.9378826069810673
global__dice_vb__age_median,0.3091944677811618,0.7282886823262713
global__dice_disc__age_median,0.802906484415326,0.9082522988615309
global__dice_macro__age_median,0.6060804840660003,0.8598789542411328
global__hd95_vb__age_median,0.4194440568900102,0.8201359695617496
global__hd95_disc__age_median,0.3964962165321596,0.8201359695617496
global__hd95_macro__age_median,0.5586352895288031,0.8379529342932047
global__ndsc_vb__age_median,0.6381429694045178,0.8598789542411328
global__ndsc_disc__age_median,0.8045022232325599,0.9082522988615309
global__ndsc_macro__age_median,0.9917711421248743,0.9917711421248743
global__dice_vb__ethnicity,0.07695963973659564,0.7165373843885281
global__dice_disc__ethnicity,0.2787008179116889,0.7282886823262713
global__dice_macro__ethnicity,0.1697439324118567,0.7165373843885281
global__hd95_vb__ethnicity,0.17060413914012573,0.7165373843885281
global__hd95_disc__ethnicity,0.05848255487360242,0.7165373843885281
global__hd95_macro__ethnicity,0.0538659015763667,0.7165373843885281
global__ndsc_vb__ethnicity,0.1151603806966097,0.7165373843885281
global__ndsc_disc__ethnicity,0.2807470366039426,0.7282886823262713
global__ndsc_macro__ethnicity,0.16409625783386506,0.7165373843885281
