threshold,dir,dpd,best_group,worst_group,best_rate,worst_rate,grouping,score
0.7,0.9736842105263158,0.02631578947368418,Female,Male,1.0,0.9736842105263158,sex,dice_macro
0.75,0.9736842105263158,0.02631578947368418,Female,Male,1.0,0.9736842105263158,sex,dice_macro
0.8,1.0,0.0,Female,Female,0.9736842105263158,0.9736842105263158,sex,dice_macro
0.85,0.8888888888888888,0.10526315789473684,Male,Female,0.9473684210526315,0.8421052631578947,sex,dice_macro
0.9,0.9583333333333334,0.02631578947368418,Female,Male,0.631578947368421,0.6052631578947368,sex,dice_macro
2.0,0.8461538461538461,0.10526315789473684,Male,Female,0.6842105263157895,0.5789473684210527,sex,hd95_macro
5.0,0.9705882352941176,0.02631578947368418,Male,Female,0.8947368421052632,0.868421052631579,sex,hd95_macro
10.0,0.9729729729729729,0.026315789473684292,Female,Male,0.9736842105263158,0.9473684210526315,sex,hd95_macro
0.7,0.9736842105263158,0.02631578947368418,Female,Male,1.0,0.9736842105263158,sex,ndsc_macro
0.75,0.9736842105263158,0.02631578947368418,Female,Male,1.0,0.9736842105263158,sex,ndsc_macro
0.8,0.9736842105263158,0.02631578947368418,Female,Male,1.0,0.9736842105263158,sex,ndsc_macro
0.85,0.9714285714285714,0.02631578947368418,Female,Male,0.9210526315789473,0.8947368421052632,sex,ndsc_macro
0.9,0.8888888888888888,0.07894736842105265,Female,Male,0.7105263157894737,0.631578947368421,sex,ndsc_macro
0.7,0.9375,0.0625,White,Black,1.0,0.9375,race_wb,dice_macro
0.75,0.9375,0.0625,White,Black,1.0,0.9375,race_wb,dice_macro
0.8,0.9555288461538461,0.04363207547169812,White,Black,0.9811320754716981,0.9375,race_wb,dice_macro
0.85,0.8971354166666666,0.09316037735849059,White,Black,0.9056603773584906,0.8125,race_wb,dice_macro
0.9,0.9660377358490566,0.021226415094339646,Black,White,0.625,0.6037735849056604,race_wb,dice_macro
2.0,0.974264705882353,0.01650943396226412,White,Black,0.6415094339622641,0.625,race_wb,hd95_macro
5.0,0.8112244897959183,0.17452830188679247,White,Black,0.9245283018867925,0.75,race_wb,hd95_macro
10.0,0.9742647058823529,0.024764150943396235,White,Black,0.9622641509433962,0.9375,race_wb,hd95_macro
0.7,0.9375,0.0625,White,Black,1.0,0.9375,race_wb,ndsc_macro
0.75,0.9375,0.0625,White,Black,1.0,0.9375,race_wb,ndsc_macro
0.8,0.9375,0.0625,White,Black,1.0,0.9375,race_wb,ndsc_macro
